,"S, Subarray Size",Time Taken
0,1,0.483522367477417
1,2,0.47126455307006837
2,3,0.44162578582763673
3,4,0.43481016159057617
4,5,0.4346900939941406
5,6,0.4250652313232422
6,7,0.4158806800842285
7,8,0.4273211479187012
8,9,0.440123176574707
9,10,0.41826701164245605
10,11,0.42275261878967285
11,12,0.5120721340179444
12,13,0.5681495189666748
13,14,0.4338831901550293
14,15,0.4205602169036865
15,16,0.4235259532928467
16,17,0.4284494876861572
17,18,0.42195911407470704
18,19,0.42484149932861326
19,20,0.4248478889465332
20,21,0.43091487884521484
21,22,0.43463888168334963
22,23,0.42233901023864745
23,24,0.4521022796630859
24,25,0.4789138317108154
25,26,0.470030689239502
26,27,0.4680746555328369
27,28,0.4709640026092529
28,29,0.4975159168243408
29,30,0.46887931823730467
30,31,0.4659463882446289
31,32,0.4663107395172119
32,33,0.46973538398742676
33,34,0.47434349060058595
34,35,0.47844576835632324
35,36,0.47740879058837893
36,37,0.48980298042297366
37,38,0.47612957954406737
38,39,0.4798129081726074
39,40,0.4732731819152832
40,41,0.46632137298583987
41,42,0.4838852405548096
42,43,0.4691933631896973
43,44,0.4756589412689209
44,45,0.46727747917175294
45,46,0.46726241111755373
46,47,0.46631655693054197
47,48,0.49261112213134767
48,49,0.5743845939636231
49,50,0.5922301292419434
50,51,0.5766103267669678
51,52,0.583629560470581
52,53,0.5806537628173828
53,54,0.5799130439758301
54,55,0.583639669418335
55,56,0.5884124755859375
56,57,0.5971720695495606
57,58,0.5878767013549805
58,59,0.5780683994293213
59,60,0.5800047874450683
60,61,0.5809633731842041
61,62,0.583301591873169
62,63,0.5774564743041992
63,64,0.5865396499633789
64,65,0.5997678279876709
65,66,0.597791051864624
66,67,0.5762681484222412
67,68,0.5817781448364258
68,69,0.5912565231323242
69,70,0.5768691062927246
70,71,0.5826447010040283
71,72,0.5836128711700439
72,73,0.5793743133544922
73,74,0.5792072296142579
74,75,0.6104770183563233
75,76,0.6281111717224122
76,77,0.5770670413970947
77,78,0.580235481262207
78,79,0.5886527061462402
79,80,0.6020361900329589
80,81,0.5771462917327881
81,82,0.5731861114501953
82,83,0.5797574996948243
83,84,0.5810678482055665
84,85,0.5856614589691163
85,86,0.5823419094085693
86,87,0.5749191761016845
87,88,0.5779185771942139
88,89,0.5901574611663818
89,90,0.5765691280364991
90,91,0.5846699237823486
91,92,0.57755126953125
92,93,0.5814843654632569
93,94,0.6223650455474854
94,95,0.6161196231842041
95,96,0.5832274436950684
96,97,0.6614274024963379
97,98,0.829487657546997
98,99,0.8283441066741943
99,100,0.8295054912567139
100,101,0.8319101333618164
101,102,0.8338858127593994
102,103,0.8202315330505371
103,104,0.8362932682037354
104,105,0.8657545566558837
105,106,0.8285783290863037
106,107,0.8204720973968506
107,108,0.847567081451416
108,109,0.823590898513794
109,110,0.8306698322296142
110,111,0.823176097869873
111,112,0.824678897857666
112,113,0.8307644844055175
113,114,0.8239016056060791
114,115,0.8291758537292481
115,116,0.8319890022277832
116,117,0.8266796112060547
117,118,0.8201719284057617
118,119,0.8121182918548584
119,120,0.8296909809112549
120,121,0.8396625995635987
121,122,0.8556891918182373
122,123,0.8301414489746094
123,124,0.8271693229675293
124,125,0.8289380073547363
125,126,0.8298734664916992
126,127,0.8274134159088135
127,128,0.8369557380676269
128,129,0.8220447540283203
129,130,0.8257100105285644
130,131,0.8361291885375977
131,132,0.8232016086578369
132,133,0.8173380374908448
133,134,0.8173166751861572
134,135,0.8514811038970947
135,136,0.8210281372070313
136,137,0.8544332981109619
137,138,0.818345308303833
138,139,0.8267942428588867
139,140,0.8180040836334228
140,141,0.8617171287536621
141,142,0.8280713081359863
142,143,0.8581808090209961
143,144,0.8333238124847412
144,145,0.8236985683441163
145,146,0.8811524391174317
146,147,0.8777596950531006
147,148,0.9869811534881592
148,149,1.0776524066925048
149,150,0.9931071758270263
